N,gin,r1,r2,r3
16,18.833619070001077,20.91457015999822,21.789340099999208,21.884593779977877
32,19.17368825000267,23.836190860001807,22.946533579997777,23.230872600033763
64,19.626401269997586,24.17058187999828,25.578962289996525,26.739679790043738
128,20.220888559997547,25.34736022999823,30.11970372000178,34.10463977998006
256,21.854354260003674,31.12693116000173,39.40769615000136,47.06005426000047
512,24.745184410003276,40.47646378000081,58.59710901000199,75.58966240998416
1024,30.53647687999728,61.6792512100028,97.31972100999883,138.30133842995565
2048,42.813518950006255,113.78810213000179,177.0636648699974,259.1165786900092
4096,67.01533014000233,203.1609914899991,344.52324306000264,463.41652966002584
8192,114.04139635999854,358.9022834699972,547.1758308700009,757.2550890599814
16384,190.50860688003013,529.4621499100322,907.6158818999829,1434.775312050042
