;\rotatebox[origin=c]{90}{\textbf{\textcolor{t_darkgreen}{WL\textsubscript{ST}*}} ($T=1$)};\rotatebox[origin=c]{90}{\textbf{\textcolor{t_darkgreen}{WL\textsubscript{ST}*}} ($T=5$)};\rotatebox[origin=c]{90}{\textbf{\textcolor{t_darkgreen}{2-LWL*}} ($T=3$)};\rotatebox[origin=c]{90}{\textbf{2-GWL} ($T=3$)};\rotatebox[origin=c]{90}{\textbf{Baseline} ($\mathrm{sum}$)};\rotatebox[origin=c]{90}{\textbf{GIN} ($\mathrm{sum}$)};\rotatebox[origin=c]{90}{\textbf{2-GNN} ($\mean$)};\rotatebox[origin=c]{90}{\textbf{2-GNN} ($\mathrm{SAM}$)};\rotatebox[origin=c]{90}{\textbf{\textcolor{t_darkgreen}{2-WL-GNN*}} ($\mean$)};\rotatebox[origin=c]{90}{\textbf{2-WL-GNN} ($\mean$)};\rotatebox[origin=c]{90}{\textbf{\textcolor{t_darkgreen}{2-WL-GNN*}} ($\mathrm{SAM}$)}
\textbf{\textcolor{t_darkgreen}{WL\textsubscript{ST}*}} ($T=1$);;\textcolor{t_red}{$-11.5 \pm 1.3$};\textcolor{t_red}{$-2.8 \pm 1.5$};\textcolor{t_darkgreen}{$2.3 \pm 2.4$};\textcolor{t_darkgreen}{$6.2 \pm 2.9$};\textcolor{t_red}{$-3.5 \pm 2.2$};\textcolor{t_red}{$-1.9 \pm 2.9$};\textcolor{t_red}{$-4.4 \pm 2.3$};\textcolor{t_darkgreen}{$3.1 \pm 2.5$};\textcolor{t_darkgreen}{$1.6 \pm 2.6$};\textcolor{t_darkgreen}{$3.7 \pm 3.6$}
\textbf{\textcolor{t_darkgreen}{WL\textsubscript{ST}*}} ($T=5$);\textcolor{t_darkgreen}{$11.5 \pm 1.3$};;\textcolor{t_darkgreen}{$8.7 \pm 1.7$};\textcolor{t_darkgreen}{$13.8 \pm 1.9$};\textcolor{t_darkgreen}{$17.8 \pm 2.7$};\textcolor{t_darkgreen}{$8.0 \pm 2.7$};\textcolor{t_darkgreen}{$9.6 \pm 2.2$};\textcolor{t_darkgreen}{$7.1 \pm 2.0$};\textcolor{t_darkgreen}{$14.6 \pm 2.3$};\textcolor{t_darkgreen}{$13.1 \pm 2.0$};\textcolor{t_darkgreen}{$15.2 \pm 3.8$}
\textbf{\textcolor{t_darkgreen}{2-LWL*}} ($T=3$);\textcolor{t_darkgreen}{$2.8 \pm 1.5$};\textcolor{t_red}{$-8.7 \pm 1.7$};;\textcolor{t_darkgreen}{$5.1 \pm 2.3$};\textcolor{t_darkgreen}{$9.0 \pm 3.0$};\textcolor{t_red}{$-0.7 \pm 2.7$};\textcolor{t_darkgreen}{$0.9 \pm 2.0$};\textcolor{t_red}{$-1.6 \pm 2.3$};\textcolor{t_darkgreen}{$5.9 \pm 3.2$};\textcolor{t_darkgreen}{$4.4 \pm 2.5$};\textcolor{t_darkgreen}{$6.5 \pm 4.2$}
\textbf{2-GWL} ($T=3$);\textcolor{t_red}{$-2.3 \pm 2.4$};\textcolor{t_red}{$-13.8 \pm 1.9$};\textcolor{t_red}{$-5.1 \pm 2.3$};;\textcolor{t_darkgreen}{$3.9 \pm 4.1$};\textcolor{t_red}{$-5.8 \pm 3.6$};\textcolor{t_red}{$-4.3 \pm 2.5$};\textcolor{t_red}{$-6.7 \pm 2.5$};\textcolor{t_darkgreen}{$0.8 \pm 3.7$};\textcolor{t_red}{$-0.8 \pm 2.7$};\textcolor{t_darkgreen}{$1.4 \pm 4.0$}
\textbf{Baseline} ($\mathrm{sum}$);\textcolor{t_red}{$-6.2 \pm 2.9$};\textcolor{t_red}{$-17.8 \pm 2.7$};\textcolor{t_red}{$-9.0 \pm 3.0$};\textcolor{t_red}{$-3.9 \pm 4.1$};;\textcolor{t_red}{$-9.8 \pm 2.4$};\textcolor{t_red}{$-8.2 \pm 2.9$};\textcolor{t_red}{$-10.6 \pm 2.6$};\textcolor{t_red}{$-3.1 \pm 3.0$};\textcolor{t_red}{$-4.7 \pm 3.1$};\textcolor{t_red}{$-2.6 \pm 5.0$}
\textbf{GIN} ($\mathrm{sum}$);\textcolor{t_darkgreen}{$3.5 \pm 2.2$};\textcolor{t_red}{$-8.0 \pm 2.7$};\textcolor{t_darkgreen}{$0.7 \pm 2.7$};\textcolor{t_darkgreen}{$5.8 \pm 3.6$};\textcolor{t_darkgreen}{$9.8 \pm 2.4$};;\textcolor{t_darkgreen}{$1.6 \pm 3.5$};\textcolor{t_red}{$-0.9 \pm 2.2$};\textcolor{t_darkgreen}{$6.6 \pm 2.5$};\textcolor{t_darkgreen}{$5.1 \pm 3.2$};\textcolor{t_darkgreen}{$7.2 \pm 3.3$}
\textbf{2-GNN} ($\mean$);\textcolor{t_darkgreen}{$1.9 \pm 2.9$};\textcolor{t_red}{$-9.6 \pm 2.2$};\textcolor{t_red}{$-0.9 \pm 2.0$};\textcolor{t_darkgreen}{$4.3 \pm 2.5$};\textcolor{t_darkgreen}{$8.2 \pm 2.9$};\textcolor{t_red}{$-1.6 \pm 3.5$};;\textcolor{t_red}{$-2.4 \pm 2.6$};\textcolor{t_darkgreen}{$5.1 \pm 3.5$};\textcolor{t_darkgreen}{$3.5 \pm 2.2$};\textcolor{t_darkgreen}{$5.6 \pm 4.8$}
\textbf{2-GNN} ($\mathrm{SAM}$);\textcolor{t_darkgreen}{$4.4 \pm 2.3$};\textcolor{t_red}{$-7.1 \pm 2.0$};\textcolor{t_darkgreen}{$1.6 \pm 2.3$};\textcolor{t_darkgreen}{$6.7 \pm 2.5$};\textcolor{t_darkgreen}{$10.6 \pm 2.6$};\textcolor{t_darkgreen}{$0.9 \pm 2.2$};\textcolor{t_darkgreen}{$2.4 \pm 2.6$};;\textcolor{t_darkgreen}{$7.5 \pm 3.1$};\textcolor{t_darkgreen}{$5.9 \pm 3.2$};\textcolor{t_darkgreen}{$8.1 \pm 4.2$}
\textbf{\textcolor{t_darkgreen}{2-WL-GNN*}} ($\mean$);\textcolor{t_red}{$-3.1 \pm 2.5$};\textcolor{t_red}{$-14.6 \pm 2.3$};\textcolor{t_red}{$-5.9 \pm 3.2$};\textcolor{t_red}{$-0.8 \pm 3.7$};\textcolor{t_darkgreen}{$3.1 \pm 3.0$};\textcolor{t_red}{$-6.6 \pm 2.5$};\textcolor{t_red}{$-5.1 \pm 3.5$};\textcolor{t_red}{$-7.5 \pm 3.1$};;\textcolor{t_red}{$-1.5 \pm 2.2$};\textcolor{t_darkgreen}{$0.6 \pm 2.9$}
\textbf{2-WL-GNN} ($\mean$);\textcolor{t_red}{$-1.6 \pm 2.6$};\textcolor{t_red}{$-13.1 \pm 2.0$};\textcolor{t_red}{$-4.4 \pm 2.5$};\textcolor{t_darkgreen}{$0.8 \pm 2.7$};\textcolor{t_darkgreen}{$4.7 \pm 3.1$};\textcolor{t_red}{$-5.1 \pm 3.2$};\textcolor{t_red}{$-3.5 \pm 2.2$};\textcolor{t_red}{$-5.9 \pm 3.2$};\textcolor{t_darkgreen}{$1.5 \pm 2.2$};;\textcolor{t_darkgreen}{$2.1 \pm 3.4$}
\textbf{\textcolor{t_darkgreen}{2-WL-GNN*}} ($\mathrm{SAM}$);\textcolor{t_red}{$-3.7 \pm 3.6$};\textcolor{t_red}{$-15.2 \pm 3.8$};\textcolor{t_red}{$-6.5 \pm 4.2$};\textcolor{t_red}{$-1.4 \pm 4.0$};\textcolor{t_darkgreen}{$2.6 \pm 5.0$};\textcolor{t_red}{$-7.2 \pm 3.3$};\textcolor{t_red}{$-5.6 \pm 4.8$};\textcolor{t_red}{$-8.1 \pm 4.2$};\textcolor{t_red}{$-0.6 \pm 2.9$};\textcolor{t_red}{$-2.1 \pm 3.4$};
